SOUPP,gender,marital,area,edcn,FType,Fmembers,Fincome,TVtime,Entert,Confus,Releva,Brand,Empathy,Famili,Allien
KNORR,Male,Married,2,1,1,2,3,1,2.43,2,3.6,4,2.6,3,3.17
KNORR,Female,Married,4,2,1,1,3,1,2.71,3.5,2,4,2.4,3.33,2.5
KNORR,Female,Married,4,2,1,1,3,1,2,3.25,1.6,2.5,1.8,4,4.17
KNORR,Female,Married,3,2,1,1,3,2,3.86,2.5,3.2,4,3.2,2,1.67
KNORR,Female,Married,4,3,1,1,1,1,3.71,2,2,4,2,3.33,3
KNORR,Female,Married,3,2,1,1,1,1,3,3.25,3.2,4,2.4,3,2.83
KNORR,Female,Married,4,2,1,1,3,1,2.29,4,2.4,3.5,2.6,4.33,4.5
KNORR,Female,Married,3,2,1,2,3,1,1,3,2.8,3,1,3,4.67
KNORR,Female,Married,3,3,1,1,1,3,3.71,4.25,3.2,3.5,3.4,3.33,4
KNORR,Female,Married,4,2,1,1,3,1,2,3,2,3.5,2,2.33,4
KNORR,Female,Married,4,2,1,1,3,1,3,3.75,2.2,4,1.6,4,4
KNORR,Female,Married,4,2,1,1,3,3,1.86,3.25,1.8,4,1.4,3,4.67
KNORR,Female,Married,4,2,1,1,3,1,3.86,2.75,1.2,4,2.6,3.33,3.17
KNORR,Female,Married,4,2,1,1,3,1,1.71,3.5,1.8,1.5,2,2.33,2.67
KNORR,Female,Married,4,2,1,2,3,1,1,1,1,1,1,3.33,1
KNORR,Female,Married,2,3,1,1,2,1,1.43,3.75,2.2,5,2.2,2.67,2.33
KNORR,Female,Married,4,2,2,2,3,1,1.57,3.25,1.4,2,1.8,3.33,3.17
KNORR,Female,Married,2,3,1,1,2,1,1.57,3.25,1.4,2,1.8,3.33,3.33
KNORR,Male,Married,3,3,1,2,1,2,1.86,1.75,2,1.5,2,1.67,2.67
KNORR,Female,Married,3,2,1,2,2,2,2.29,2.5,2.6,3,3.6,2.33,2.83
KNORR,Male,Married,2,2,1,1,1,2,2.43,2.5,2.4,2.5,2.4,2.67,2.5
KNORR,Male,Married,2,3,2,2,1,2,3.29,2.25,3.6,3.5,2.6,3,3.17
