#,User,Review Date,Star,Title,Review
1,Priyanka Chatterjee,20 November 2018,4.4 out of 5 stars,Worst product till Date,"within 2 month... Mother board crashed and second time , half black screen half display..It is completely loss to buy such high phone with so much price.. basic infrastructure is bad,I want a replacement for this cell phone. Totally lost confidence on huawai.  If 60k priced phone behaves such a low quality level , its a big matter of concern for the company...Looking forward for some solution."
2,Dinesh Agrawal,30 August 2018,4.0 out of 5 stars,Wrost product,I was purchased this phone on 27 july and fingerprint sensor has suddenly stopped working only in one month...
3,Yash,13 January 2019,1.0 out of 5 stars,"First DSLR camera phone, Love it","- Specifically its night mode pictures are mind boggling, i think no other phone camera can beat it.- 10x Zoom in capacity is great, pictures are very clear, no other phone camera can beat it.- Other like Slow motion, Portraits and other mode are also giving great pictures.- 40mp not support zoom in but it's okey.- Check attached snaps.Leica lense are German made company lenses, Very powerful lenses.I have special purchased this phone for photography and im 100% satisfiedand recommended for photography lovers."
4,Venkatesh S,18 November 2018,1.0 out of 5 stars,A splendid option for photography enthusiasts,"Purchased this during the great Indian sale. The main reason for purchasing this phone was for the camera. And it truly lives up to the expectations. Night time photography is wonderful. AI scene detection is useful in some instances but bothersome in other cases. Greenery mode increases the green hue, cloud mode increases the blue hue of the sky giving some unnatural looking effects. But the AI mode can be dismissed from the screen easily or turned off altogether. Zoom works wonders without compromising on image quality. So, if you are a photography buff, go for it."
5,Ranger,11 November 2018,4.0 out of 5 stars,Amazed with p20 pro,The reason i gave 5 star to everythingTo start withIt has powerful battery lifeIf u have good cameraBig ScreenAnd u on social networkU need to have good batteryCamera is brilliant in master AI modeAnd night mode is amzingHave mini screen feature to minimise the screenAnd input is amazing have dolby atmosAnd output is goodNot too. Loud bt clear
6,Vaibhav Janvalkar,8 September 2018,5.0 out of 5 stars,It's Hay Day with P20Pro,You love photography then this is smart buy. All you get in this phone is the best. The drawback is no memory slot. The 3D monograph photo are not perfect. Rest all cool. Enjoying the phone. The metallic blue looks pretty amazing.
7,Danny A.,25 September 2018,5.0 out of 5 stars,Better than other brands,The phone over all is bestBest picture quality with lecia triple lens cameraDolby atoms audio quality is bestThe facial recognition unlock is a perfect and faster than IPhone 10I would definitely recommend this phone
8,Amazon Customer,12 November 2018,5.0 out of 5 stars,"Excellent Phone with premium look and capabilities, Great rear and low light camera","This is a very good phone with excellent camera capabilities and photo experience. I worked with almost all features of this phone and this is an ultimate phone to buy /use, especially who has/have great interest for camera. Rear Camera and Lowlight images are too good and as expected. However the selfie camera must be improvised by adding more features as I was more interested for Selfies.. Sound is loud and clear, no noise and battery is lasting for 2- 3 days based on the usage. When people see this phone for the firt time, they feel amazed by its premium look and feel. Overall Best Camera phone with premium looks and feel for this price tag, great technology from Huawei and I am happy to have this phone."
9,Naved Siddiqui,5 October 2018,5.0 out of 5 stars,Flagship of the year!,Great looks. Great camera. Great battery. IPhone killer....
10,Sekhar,7 October 2018,5.0 out of 5 stars,Good phone with very few updates.,Till date received only one update for this phone while persons using Honor (sub-brand) received multiple updates within the same period.Very good product. The exception is the picture taken in night mode. No comparison required.
11,Pranit Baliram Garad,5 September 2018,4.4 out of 5 stars,Worth every penny,Just go for it
12,Shailendra Tiwari,24 July 2018,4.0 out of 5 stars,One word to describe,Brilliant!!
13,Arjun,8 February 2019,1.0 out of 5 stars,"Value for ?? money, best rear camera Mobile","After one month usage I post this review, I bought this mobile for 55k, I'm learning cinematography so I need the best picture and video quality Mobile. After a lot of research I choose this mobile. Undoubtedly the p20 pro rear camera have a great picture quality????, but the Huawei failed to bring the same picture quality in front camera????.Sound quality is really good i like the bass and treble in Dolby Atmos while connecting type c cable. PS: Dolby Atmos doesn't work with Bluetooth headsets or speaker's.Battery quality: thanks for super fast charging. Battery stands upto 8hrs when we use continuesly. Once the reach 10% Battery started drains quickly to 0% within 30min so we should activate the ultra power saver mode.Pros:Rear camera 4.5/5Sound quality 4/5Display 5/5Performance 5/5Battery 3.5/5Cons:Front camera 2/5Only one stereo speaker.Face id doesn't work in dark room."
14,TILAK D.,15 February 2019,5.0 out of 5 stars,best phone ever i have used,class one phone
15,khyati,9 August 2018,5.0 out of 5 stars,Superbe,Best ever camera
16,Sobin Mathew,4 October 2018,4.0 out of 5 stars,Camera and display awesome,"Nothing to say really wonder about the phone really superb camera,amazing battery life I don't expect this muchSuperb display seems like 3d when some movies played"
17,Pratham,25 August 2018,5.0 out of 5 stars,Awesome cellphone with high quality camera,I liked the picture quality n storage is 128 gb it should b 256 gb
18,Sunil,9 September 2018,5.0 out of 5 stars,Awesome,Superb
19,Rajesh Negi,2 September 2018,5.0 out of 5 stars,Battrery is usp...But overall a complete phone,Battrery is usp...But overall a complete phone
20,Sunita sharma,12 November 2018,4.0 out of 5 stars,Nothing about,Like three camera but picture quelity bad
21,Amazon Customer,25 September 2018,4.4 out of 5 stars,Excellent phone with amazing camera,Amazing phone in this price range beats camera of I phone X hands down . Selfie mode is not up to mark but if you are a android user you will be happy
22,Amazon Customer,3 September 2018,4.0 out of 5 stars,Five Stars,Too good....worth buying
23,Sanjoy,1 November 2018,1.0 out of 5 stars,Truly flagship phone,Wonderful phone. Picture quality is superb. Display could have been better. Battery will lasts a day under normal use.
24,Shameer,28 December 2018,5.0 out of 5 stars,Not the price,"The phone is heating charging time and video play time,"
25,Dhanunjaya Reddy G,29 November 2018,5.0 out of 5 stars,Very Bad experience with mobile,"While on call, call is going to disconnect so many times. facing very much problem on call. picture quality is also bad ."
26,Amazon Customer,6 January 2019,5.0 out of 5 stars,I didn't feel worth for the price paid,I am quite unsatisfied with the the performance of the mobile
27,KRISHNENDU RAY,16 October 2018,2.0 out of 5 stars,SUPERB,Simply superb....
28,Chaya c.,31 October 2018,1.0 out of 5 stars,Dissappointed,"Pictures are not upto the mark, had a big expectation but very much disappointed"
